"Date","Price","Open","High","Low","Change %"
"12/14/2022","522.91","520.80","522.91","520.80","-0.93%"
"12/13/2022","527.84","569.35","569.35","527.84","-5.69%"
"12/12/2022","559.67","571.41","571.41","559.67","-0.63%"
"12/09/2022","563.20","580.60","580.60","563.20","-2.11%"
"12/08/2022","575.34","550.48","575.34","550.48","4.57%"
"12/07/2022","550.21","545.43","550.21","545.43","4.27%"
"12/06/2022","527.68","550.78","550.78","527.68","-0.05%"
"12/05/2022","527.92","551.32","551.32","527.92","-1.91%"
"12/02/2022","538.21","550.47","550.47","538.21","-1.27%"
"12/01/2022","545.16","510.95","545.16","510.95","-3.55%"
"11/30/2022","565.22","511.25","565.22","511.25","17.62%"
"11/29/2022","480.55","500.08","500.08","480.55","1.16%"
"11/28/2022","475.04","335.02","475.04","335.02","40.74%"
"11/25/2022","337.54","315.05","337.54","315.05","5.48%"
"11/24/2022","320.01","320.04","320.04","320.01","-1.55%"
"11/23/2022","325.04","315.28","325.04","315.28","7.44%"
"11/22/2022","302.53","315.08","315.08","302.53","-3.97%"
"11/21/2022","315.03","320.06","320.06","315.03","-1.55%"
"11/18/2022","319.98","329.96","329.96","319.98","-3.04%"
"11/17/2022","330.00","309.95","330.00","309.95","8.21%"
"11/16/2022","304.95","275.22","304.95","275.22","7.95%"
"11/15/2022","282.48","274.97","282.48","274.97","-1.74%"
"11/14/2022","287.48","279.98","287.48","279.98","2.66%"
"11/11/2022","280.03","280.00","280.03","280.00","-2.57%"
"11/10/2022","287.43","330.15","330.15","287.43","-14.22%"
"11/09/2022","335.07","310.24","335.07","310.24","10.77%"
"11/08/2022","302.48","309.96","309.96","302.48","-0.33%"
"11/07/2022","303.49","309.96","309.96","303.49","-2.10%"
"11/04/2022","309.99","324.90","324.90","309.99","-0.80%"
"11/03/2022","312.49","254.95","312.49","254.95","22.57%"
"11/02/2022","254.94","239.52","254.94","239.52","7.36%"
"11/01/2022","237.46","240.02","240.02","237.46","-0.02%"
"10/31/2022","237.51","249.93","249.93","237.51","-5.00%"
"10/28/2022","250.01","239.95","250.01","239.95","6.42%"
"10/27/2022","234.92","323.72","323.72","234.92","-25.86%"
"10/26/2022","316.86","300.66","316.86","300.66","3.78%"
"10/25/2022","305.33","345.51","345.51","305.33","-8.23%"
"10/24/2022","332.71","339.89","339.89","332.71","0.84%"
"10/21/2022","329.94","350.62","350.62","329.94","1.42%"
"10/20/2022","325.31","280.34","325.31","280.34","22.68%"
"10/19/2022","265.18","239.99","265.18","239.99","20.54%"
"10/18/2022","219.99","275.40","275.40","219.99","-26.10%"
"10/17/2022","297.69","411.88","411.88","297.69","-27.13%"
"10/14/2022","408.51","432.02","432.02","408.51","-5.23%"
"10/13/2022","431.04","432.05","432.05","431.04","0.02%"
"10/12/2022","430.94","401.49","430.94","401.49","9.58%"
"10/11/2022","393.25","386.25","393.25","386.25","3.31%"
"10/10/2022","380.64","425.59","425.59","380.64","-17.76%"
"10/07/2022","462.86","603.14","603.14","462.86","-17.97%"
"10/06/2022","564.24","604.12","604.12","564.24","-3.09%"
"10/05/2022","582.23","425.72","582.23","425.72","39.37%"
"10/04/2022","417.77","501.43","501.43","417.77","-20.53%"
"10/03/2022","525.67","165.89","525.67","165.89","229.70%"
"09/30/2022","159.44","160.90","160.90","159.44","4.93%"
"09/29/2022","151.95","150.92","151.95","150.92","7.05%"
"09/28/2022","141.94","145.92","145.92","141.94","1.78%"
"09/27/2022","139.46","145.92","145.92","139.46","5.68%"
"09/26/2022","131.97","130.96","131.97","130.96","1.93%"
"09/23/2022","129.47","130.95","130.95","129.47","-3.00%"
"09/22/2022","133.48","140.96","140.96","133.48","-6.96%"
"09/21/2022","143.47","136.94","143.47","136.94","1.77%"
"09/20/2022","140.97","133.78","140.97","133.78","7.63%"
"09/19/2022","130.98","127.48","130.98","127.48","0.00%"
"09/16/2022","130.98","127.48","130.98","127.48","2.54%"
"09/15/2022","127.74","124.48","127.74","124.48","1.19%"
"09/14/2022","126.24","131.48","131.48","126.24","-1.56%"
"09/13/2022","128.24","149.06","149.06","128.24","-4.15%"
"09/12/2022","133.79","131.48","133.79","131.48","0.04%"
"09/09/2022","133.74","149.46","149.46","133.74","-6.39%"
"09/08/2022","142.88","149.06","149.06","142.88","0.00%"
"09/07/2022","142.88","148.60","148.60","142.88","0.05%"
"09/06/2022","142.81","149.10","149.10","142.81","-0.04%"
"09/05/2022","142.86","149.06","149.06","142.86","0.02%"
"09/02/2022","142.83","149.06","149.06","142.83","-7.43%"
"09/01/2022","154.29","144.86","154.29","144.86","5.73%"
"08/31/2022","145.93","138.27","145.93","138.27","3.04%"
"08/30/2022","141.63","131.94","141.63","131.94","4.53%"
"08/29/2022","135.49","131.98","135.49","131.98","0.01%"
"08/26/2022","135.48","125.76","135.48","125.76","0.82%"
"08/25/2022","134.38","129.99","134.38","129.99","-1.55%"
"08/24/2022","136.49","150.22","150.22","136.49","-9.38%"
"08/23/2022","150.61","150.21","150.61","150.21","1.35%"
"08/22/2022","148.61","136.25","148.61","136.25","6.06%"
"08/19/2022","140.12","132.48","140.12","132.48","3.23%"
"08/18/2022","135.74","139.97","139.97","135.74","-1.27%"
"08/17/2022","137.49","133.98","137.49","133.98","3.00%"
"08/16/2022","133.49","131.98","133.49","131.98","1.53%"
"08/15/2022","131.48","131.67","131.67","131.48","-1.02%"
"08/12/2022","132.83","131.67","132.83","131.67","-1.48%"
"08/11/2022","134.83","139.57","139.57","134.83","-4.57%"
"08/10/2022","141.28","143.80","143.80","141.28","-2.16%"
"08/09/2022","144.40","132.05","144.40","132.05","4.24%"
"08/08/2022","138.52","135.97","138.52","135.97","-1.40%"
"08/05/2022","140.49","139.97","140.49","139.97","-0.70%"
"08/04/2022","141.48","134.97","141.48","134.97","2.53%"
"08/03/2022","137.99","143.96","143.96","137.99","-2.81%"
"08/02/2022","141.98","134.96","141.98","134.96","5.58%"
"08/01/2022","134.48","130.47","134.48","130.47","2.48%"
"07/29/2022","131.23","136.96","136.96","131.23","-5.91%"
